Food,Calories,Protein,Fat,Carbohydrate
100% NATURAL CEREAL 1 OZ,135,3,6,18
40% BRAN FLAKESS 1 OZ,90,4,1,22
ALFALFA SEEDS 1 CUP,10,1,0,1
ANGELFOOD CAKEMIX 1 CAKE,1510,38,2,342
ANGELFOOD CAKEMIX 1 PIECE,125,3,0,29
APPLES 10 RINGS,155,1,0,42
APPLES 1 CUP,65,0,0,16
APPLESAUCE 1 CUP,195,0,0,51
APRICOT NECTARADDED VIT C 1 CUP,140,1,0,36
APRICOT SYRUP 1 CUP,215,1,0,55
APRICOT SYRUP 3 HALVES,70,0,0,18
APRICOTS PACK 1 CUP,120,2,0,31
APRICOTS PACK 3 HALVES,40,1,0,10
APRICOTS,210,3,0,55
APRICOTS 1 CUP,310,5,1,80
ARTICHOKES,55,3,0,12
ASPARAGUS FRM FRZ,15,2,0,3
ASPARAGUS FRM FRZ,50,5,1,9
ASPARAGUS FRM RAW,45,5,1,8
ASPARAGUS FRM RAW,15,2,0,3
ASPARAGUS,10,1,0,2
ASPARAGUS SALT 4 SPEARS,10,1,0,2
BAKING POWDER SODIUM 1 TSP,5,0,0,1
BAKING POWDER PHOSPHAT1 TSP,5,0,0,1
BAKING POWDER PO4 1 TSP,5,0,0,1
BAKING POWDER CASO4 1 TSP,5,0,0,1
BAKING PWDR BISCUITS MIX 1 BISCUT,95,2,3,14
BAKING PWDR BISCUITS,100,2,5,13
BAKING PWDR BISCUITS,65,1,2,10
BAMBOO SHOOTS,25,2,1,4
BARLEY,700 ,16,2,158
BEAN SPROUTS,25,3,0,5
BEAN SPROUTS1 CUP,30,3,0,6
BEAN WITH BACON SOUP 1 CUP,170,8,6,23
BEANS FRANKFURTER 1 CUP,365,19,18,32
BEANS PORK+SWTSCE 1 CUP,385,16,12,54
